Name,Description,Status,Priority,Phase,Assignee,Due Date,Tags,Time Estimate
Advanced Analytics,Heat maps user flows,To Do,High,Fase 4 - Escalamiento,,,analytics;advanced,10h
Conversion Optimization,A/B test ad positions,To Do,High,Fase 4 - Escalamiento,,,optimization;conversion,12h
Email Collection,Newsletter opt-in,To Do,Medium,Fase 4 - Escalamiento,,,marketing;email,6h
Premium Features,Freemium model testing,To Do,High,Fase 4 - Escalamiento,,,monetization;premium,20h
API Access,Para desarrolladores,To Do,High,Fase 4 - Escalamiento,,,api;integration,16h
White-label,Licensing options,To Do,Medium,Fase 4 - Escalamiento,,,business;licensing,12h
Blog Platform,Tutoriales y guías,To Do,Medium,Fase 4 - Escalamiento,,,content;blog,20h
Community Features,Comments ratings,To Do,Low,Fase 4 - Escalamiento,,,community;engagement,16h
User Contributions,Sugerir herramientas,To Do,Medium,Fase 4 - Escalamiento,,,community;contributions,12h
Multi-language,English version,To Do,High,Fase 4 - Escalamiento,,,i18n;localization,24h
Mobile App,PWA to native,To Do,Medium,Fase 4 - Escalamiento,,,mobile;app,40h
Integrations,VS Code extension etc,To Do,Low,Fase 4 - Escalamiento,,,integrations;extensions,20h
AI-Powered Tools,Code generation optimization,To Do,Low,Fase 5 - Futuro,,,ai;tools,40h
Collaboration Features,Share tools workspaces,To Do,Low,Fase 5 - Futuro,,,collaboration;sharing,24h
Enterprise Features,Team accounts,To Do,Medium,Fase 5 - Futuro,,,enterprise;teams,32h
Custom Domains,White-label hosting,To Do,Low,Fase 5 - Futuro,,,hosting;custom,16h
Marketplace,Third-party tools,To Do,Low,Fase 5 - Futuro,,,marketplace;ecosystem,40h
Certification Programs,Courses and badges,To Do,Low,Fase 5 - Futuro,,,education;certification,60h
URL Encoder/Decoder,Básico necesario,To Do,Medium,Fase 3 - Expansión,,,tools;url,6h
YAML ↔ JSON Converter,DevOps audience,To Do,Medium,Fase 3 - Expansión,,,tools;yaml,8h
Markdown to HTML,Content creators,To Do,Medium,Fase 3 - Expansión,,,tools;markdown,10h
CSS Beautifier/Minifier,Frontend devs,To Do,Medium,Fase 3 - Expansión,,,tools;css,12h
HTTP Status Code Simulator,Muy específico,To Do,Low,Fase 4 - Escalamiento,,,tools;http,8h
cURL Builder,Advanced users,To Do,Low,Fase 4 - Escalamiento,,,tools;curl,12h
SQL Formatter,Niche audience,To Do,Low,Fase 4 - Escalamiento,,,tools;sql,10h
XML Validator,Menos demanda,To Do,Low,Fase 4 - Escalamiento,,,tools;xml,8h
ASCII Art Generator,Fun but low value,To Do,Low,Fase 5 - Futuro,,,tools;ascii,6h
